SUBJECT_UID	SAMPLE_NAME
PHX9SipUTSVO4	H 112:9
PHX9SLgsxeqm2	H 112:10
PHX9S7i1PLHED	ICSX 2010045:1
PHX9SIPJ2jp3f	ICSX 2010045:2
PHX9SZHLfKE6R	ICSX 2010045:3
PHX9S8isvriea	ICSX 2010045:4
PHX9SrOtISXtW	ICSX 2010045:5
PHX9Sk4A01rk4	ICSX 2010045:6
PHX9SRwKi64DP	ICSX 2010046:1
PHX9S2sbB5OQf	ICSX 2010046:2
PHX9SvO8zwKgU	ICSX 2010046:3
PHX9Shb2jqHqg	ICSX 2010046:4
PHX9SjalLoMeA	ICSX 2010046:5
PHX9SmYHvbVmS	ICSX 2010046:6
PHX9SC3ek9HE5	ICSX 2010047:1
PHX9SFzMDytQA	ICSX 2010047:2
PHX9SnOPKaAsi	ICSX 2010047:3
PHX9SvH7Hf0CV	ICSX 2010047:4
PHX9S2af7EvdU	ICSX 2010047:5
PHX9SxFqMo7hl	ICSX 2010047:6
PHX9St3CWMFkO	ICSX 2010048:1
PHX9SzeQ5WltO	ICSX 2010048:2
PHX9SLUJsO24p	ICSX 2010048:3
PHX9SfThWaQg1	ICSX 2010048:4
PHX9S7cnAKQ2m	ICSX 2010048:5
PHX9SqyCScaOp	ICSX 2010048:6
PHX9Sqhh23p7W	ICSX 2010049:1
PHX9SmGlyN1Xl	ICSX 2010049:2
PHX9S4UqXvRaM	ICSX 2010049:3
PHX9S3VnRh732	ICSX 2010049:4
PHX9SIVEoolTl	ICSX 2010049:5
PHX9SZ5Zss1c3	ICSX 2010049:6
PHX9S3v7KZsX5	ICSB 467:13
PHX9Sg8hPIY9L	ICSB 467:14
PHX9S3Wbmg6Ms	ICSX 2010050:1
PHX9SKbeTb71R	ICSX 2010050:2
PHX9SHoXtqqDy	ICSX 2010051:1
PHX9S6fhuM3J1	ICSX 2010051:2
PHX9SITrBmeNi	ICSX 2010051:3
PHX9SGFMEACLY	ICSX 2010051:4
PHX9SdzXSl1gF	ICSX 2010051:5
PHX9SG2dvr2nA	ICSX 2010051:6
PHX9SaV10R6hW	ICSX 2010052:1
PHX9SvaTHB2GZ	ICSX 2010052:2
PHX9SarAGeaWL	ICSX 2010052:3
PHX9SvZORFruX	ICSX 2010053:1
PHX9Sk27Mgagl	ICSX 2010053:2
PHX9SZIjl97D2	ICSX 2010053:3
PHX9SA5hXsZ4X	ICSX 2010053:4
PHX9S9gOQ2R3b	ICSX 2010053:5
PHX9SCXyZe3vx	ICSX 2010053:6
PHX9S33VwkRbq	ICSB 474:13
PHX9S9c9u4gFe	ICSB 474:14
PHX9SYB2tVUZH	ICSX 2010055:1
PHX9SEUwkt7xp	ICSX 2010055:2
PHX9SYNMkY8JS	ICSX 2010055:3
PHX9SxizNXeQa	ICSX 2010055:4
PHX9SXfqv8VK7	ICSX 2010055:5
PHX9StMVAFrub	ICSX 2010055:6
PHX9SGqslZcxP	ICSX 2010056:1
PHX9SAbmmToog	ICSX 2010056:2
PHX9SmZlCFZGr	ICSX 2010056:3
PHX9SuMjjYBAq	ICSX 2010056:4
PHX9SyZfYsWkm	ICSX 2010056:5
PHX9SL2MvOSXJ	ICSX 2010056:6
PHX9SAJzWNMD8	ICSX 2010057:1
PHX9SneSnIoc2	ICSX 2010057:2
PHX9SGKx47Fvh	ICSX 2010057:3
PHX9S5FYbVsWl	ICSX 2010057:4
PHX9SzMqH5x2Y	ICSX 2010057:5
PHX9SLTsk9RrB	ICSX 2010057:6
PHX9Snck4YPaY	ICSX 2010058:1
PHX9Sv3sRHcVf	ICSX 2010058:2
PHX9SDhoscHFD	ICSX 2010058:3
PHX9SoXcry5x3	ICSX 2010058:4
PHX9SEa0GMO48	ICSX 2010058:5
PHX9SwP67I8ln	ICSX 2010058:6
PHX9SkQgTLXUR	ICSX 2010059:1
PHX9SlnxYOmsY	ICSX 2010059:2
PHX9SlURnyKmy	ICSX 2010059:3
PHX9SerNxyGay	ICSX 2010059:4
PHX9Sc06I5Dvt	ICSX 2010059:5
PHX9SvK2s32wZ	ICSX 2010059:6
PHX9SHtztEDPi	ICSR 93023:8
PHX9SMWbsdwwe	ICSR 93023:9
PHX9SDW374oHF	ICSX 2010060:1
PHX9S0S2GuA6c	ICSX 2010060:2
PHX9SYyjLuBIz	ICSX 2010060:3
PHX9SRIsk9WXX	ICSX 2010060:4
PHX9Sy4w6jNmA	ICSX 2010060:5
PHX9SlKlUnEr3	ICSX 2010060:6
PHX9S52R2pHGs	ICSX 2010061:1
PHX9SbsN9izY0	ICSX 2010061:2
PHX9ShnySRD5X	ICSX 2010061:3
PHX9SNGNZ59S3	ICSX 2010061:4
PHX9SXJ1qVBlf	ICSX 2010061:5
PHX9S4Hn7TRWV	ICSX 2010061:6
PHX9SMlAiwZn7	ICSX 2010062:1
PHX9S6mGEoD2y	ICSX 2010062:2
PHX9Shj5IatQy	ICSX 2010062:3
PHX9SLu54LCXv	ICSX 2010062:4
PHX9ShXwNHXdg	ICSX 2010062:5
PHX9SWzdDQIwU	ICSX 2010062:6
PHX9S16xehzg5	ICSX 2010063:1
PHX9S0kpiIINJ	ICSX 2010063:2
PHX9SdU0VaYmJ	ICSX 2010064:1
PHX9Sgu6RedYq	ICSX 2010064:2
PHX9SoJsqAQC8	ICSX 2010064:3
